codtabla
agentesÏÏÖ
agruparalbaranescliÏÏÖ
agruparalbaranesprovÏÏÖ
agruparpedidoscliÏÏÖ
agruparpedidosprovÏÏÖ
albaranescliÏÏÖ
albaranesprovÏÏÖ
almacenesÏÏÖ
articulosagenÏÏÖ
articuloscliÏÏÖ
articulosÏÏÖ
articulosprovÏÏÖ
articulostarifasÏÏÖ
bancos_impÏÏÖ
bancosÏÏÖ
clientesÏÏÖ
co_asi23144538ÏÏÖ
co_asientosÏÏÖ
co_codbalancesÏÏÖ
co_conceptosparÏÏÖ
co_cuentasespÏÏÖ
co_cuentasÏÏÖ
co_epigrafesÏÏÖ
contactosclientesÏÏÖ
contactosproveedoresÏÏÖ
co_partidasÏÏÖ
co_regivaÏÏÖ
co_sub271254189ÏÏÖ
co_subcuentasÏÏÖ
cuentasbancoÏÏÖ
cuentasbcocliÏÏÖ
cuentasbco_impÏÏÖ
cuentasbcoproÏÏÖ
dat_camposÏÏÖ
dat_correspondenciasÏÏÖ
dat_esquemasÏÏÖ
dat_ficherosÏÏÖ
dat_funcionesÏÏÖ
dat_opcionesÏÏÖ
dat_pr101056935ÏÏÖ
dat_pr271143485ÏÏÖ
dat_pr271144179ÏÏÖ
dat_procesose_modÏÏÖ
dat_procesosespÏÏÖ
dat_procesose_tabÏÏÖ
dat_procesose_totÏÏÖ
dat_procesosi_modÏÏÖ
dat_procesosi_tabÏÏÖ
dat_procesosi_totÏÏÖ
dat_procesosÏÏÖ
dat_tablasÏÏÖ
dat_voidÏÏÖ
departamentosÏÏÖ
descuentosclientesÏÏÖ
descuentos_impÏÏÖ
descuentosÏÏÖ
descuentosproveedoresÏÏÖ
dirclientesÏÏÖ
dirproveedoresÏÏÖ
divisas_impÏÏÖ
divisasÏÏÖ
ejercicios_impÏÏÖ
ejerciciosÏÏÖ
empresaÏÏÖ
facturascliÏÏÖ
facturas_impÏÏÖ
facturasprovÏÏÖ
familiasÏÏÖ
formaspago_impÏÏÖ
formaspagoÏÏÖ
gruposclientesÏÏÖ
huecosÏÏÖ
impuestos_impÏÏÖ
impuestosÏÏÖ
intervalosrappelÏÏÖ
lineasalbaranescliÏÏÖ
lineasalbaranesprovÏÏÖ
lineasfacturascliÏÏÖ
lineasfacturasprovÏÏÖ
lineasivafactcliÏÏÖ
lineasivafactprovÏÏÖ
lineaspedidoscliÏÏÖ
lineaspedidosprovÏÏÖ
lineaspresupuestoscliÏÏÖ
lineasregstocksÏÏÖ
pagosdevolcliÏÏÖ
paises_impÏÏÖ
paisesÏÏÖ
pedidoscliÏÏÖ
pedidosprovÏÏÖ
plazosÏÏÖ
presupuestoscliÏÏÖ
proveedoresÏÏÖ
reciboscliÏÏÖ
remesasÏÏÖ
secuenciasejerciciosÏÏÖ
series_impÏÏÖ
seriesÏÏÖ
stocksÏÏÖ
sucursalesÏÏÖ
tarifasÏÏÖ
tiposrappelÏÏÖ
