idооposicionооnombreооcodfichero
1оо0ооCODIооClientesоож
2оо1ооINCREMооClientesоож
3оо2ооNOMооClientesоож
4оо3ооNOM_FISCALооClientesоож
5оо4ооCONTACTEооClientesоож
6оо5ооDOMICILIооClientesоож
7оо6ооPOBLACIOооClientesоож
8оо7ооC_POSTALооClientesоож
9оо8ооPROVINCIAооClientesоож
10оо9ооTELEFONооClientesоож
11оо10ооTELEFON2ооClientesоож
12оо11ооTELEFAXооClientesоож
13оо12ооEMAILооClientesоож
14оо13ооTERMINIооClientesоож
15оо14ооCOMPTEооClientesоож
16оо15ооCCOMPTABLEооClientesоож
17оо16ооFORMA_PAGооClientesоож
18оо17ооBANCооClientesоож
19оо18ооDIAPAG1ооClientesоож
20оо19ооDIAPAG2ооClientesоож
21оо20ооDIAPAG3ооClientesоож
22оо21ооDESCOMPTEооClientesоож
23оо22ооLASTINVDATооClientesоож
24оо23ооIVAооClientesоож
25оо24ооIRPFооClientesоож
26оо25ооR_EQооClientesоож
27оо26ооNIFооClientesоож
28оо27ооIDIOMAооClientesоож
29оо28ооADVERTооClientesоож
30оо29ооAGENTооClientesоож
31оо30ооPROVEIDORооClientesоож
32оо31ооCOMISSIOооClientesоож
33оо32ооRISCооClientesоож
34оо33ооDEUTEооClientesоож
35оо34ооNOTESооClientesоож
36оо35ооDATAALTAооClientesоож
37оо36ооTARIFAооClientesоож
38оо37ооDESCPIооClientesоож
39оо38ооWEBSITEооClientesоож
40оо39ооNOM2ооClientesоож
41оо40ооDOMICILI2ооClientesоож
42оо41ооPOBLACIO2ооClientesоож
43оо42ооC_POSTAL2ооClientesоож
44оо43ооPROVINCIA2ооClientesоож
45оо44ооTELEFON3ооClientesоож
46оо45ооTELEFON4ооClientesоож
47оо46ооAGENCIAооClientesоож
48оо47ооPORTSооClientesоож
49оо48ооALBCOPIESооClientesоож
50оо49ооFACCOPIESооClientesоож
51оо50ооPRECOPIESооClientesоож
52оо51ооVACANCESооClientesоож
53оо52ооPORTSPAGATооClientesоож
54оо53ооFILEFORMATооClientesоож
55оо54ооLASTDISCооClientesоож
56оо55ооLASTPRICEооClientesоож
57оо56ооLASTORDERооClientesоож
58оо57ооPAISооClientesоож
59оо58ооRAMооClientesоож
60оо59ооINACTIUооClientesоож
61оо60ооNOMCCCооClientesоож
62оо61ооSENDMAIL
ооClientesоож
161оо0ооCODIооProveedoresоож
162оо1ооINCREMооProveedoresоож
163оо2ооNOMооProveedoresоож
164оо3ооNOM_FISCALооProveedoresоож
165оо4ооCONTACTEооProveedoresоож
166оо5ооDOMICILIооProveedoresоож
167оо6ооPOBLACIOооProveedoresоож
168оо7ооC_POSTALооProveedoresоож
169оо8ооPROVINCIAооProveedoresоож
170оо9ооTELEFONооProveedoresоож
171оо10ооTELEFON2ооProveedoresоож
172оо11ооTELEFAXооProveedoresоож
173оо12ооEMAILооProveedoresоож
174оо13ооTERMINIооProveedoresоож
175оо14ооCOMPTEооProveedoresоож
176оо15ооCCOMPTABLEооProveedoresоож
177оо16ооFORMA_PAGооProveedoresоож
178оо17ооBANCооProveedoresоож
179оо18ооDIAPAG1ооProveedoresоож
180оо19ооDIAPAG2ооProveedoresоож
181оо20ооDESCOMPTEооProveedoresоож
182оо21ооLASTINVDATооProveedoresоож
183оо22ооNIFооProveedoresоож
184оо23ооNOTESооProveedoresоож
185оо24ооDATAALTAооProveedoresоож
186оо25ооDIAPAG3ооProveedoresоож
187оо26ооWEBSITEооProveedoresоож
188оо27ооTELEFON3ооProveedoresоож
189оо28ооTELEFON4ооProveedoresоож
190оо29ооIDIOMAооProveedoresоож
191оо30ооADVERTооProveedoresоож
192оо31ооVACANCESооProveedoresоож
193оо32ооLLIURооProveedoresоож
194оо33ооDESCPIооProveedoresоож
195оо34ооCLIENTооProveedoresоож
196оо35ооFENVооProveedoresоож
197оо36ооPORTSPAGATооProveedoresоож
198оо37ооNOM2ооProveedoresоож
199оо38ооDOMICILI2ооProveedoresоож
200оо39ооPOBLACIO2ооProveedoresоож
201оо40ооC_POSTAL2ооProveedoresоож
202оо41ооPROVINCIA2ооProveedoresоож
203оо42ооIVAооProveedoresоож
204оо43ооFILEFORMATооProveedoresоож
205оо44ооLASTORDERооProveedoresоож
206оо45ооINACTIUооProveedoresоож
207оо46ооRAMооProveedoresоож
208оо47ооPAISооProveedoresоож
209оо48ооSENDMAIL
ооProveedoresоож
463оо1ооNumооFacturas de clienteоож
464оо2ооClientооFacturas de clienteоож
465оо3ооAgentооFacturas de clienteоож
466оо4ооDataооFacturas de clienteоож
467оо5ооHoraооFacturas de clienteоож
468оо6ооVencimentооFacturas de clienteоож
469оо7ооCobramentооFacturas de clienteоож
470оо8ооClauVencimentооFacturas de clienteоож
471оо9ооDescompteооFacturas de clienteоож
472оо10ооTextLliureооFacturas de clienteоож
473оо11ооDirectaооFacturas de clienteоож
474оо12ооExportadaооFacturas de clienteоож
475оо13ооRectNumооFacturas de clienteоож
476оо14ооRectLinkооFacturas de clienteоож
