codficheroÏÏfilacamposÏÏficherodatos
ClientesÏÏtrueÏÏOMG-CLIÏÏÖ
ProveedoresÏÏtrueÏÏOMG-PROÏÏÖ
Facturas de clienteÏÏtrueÏÏOMG-FACÏÏÖ
ArticulosÏÏtrueÏÏOMG-ARTÏÏÖ
FamiliasÏÏtrueÏÏOMG-FAMÏÏÖ
Formas de pagoÏÏtrueÏÏOMG-FPAÏÏÖ
AgentesÏÏtrueÏÏOMG-AGEÏÏÖ
Albaranes de clientesÏÏtrueÏÏOMG-ALBÏÏÖ
Lineas de albaranes y facturasÏÏtrueÏÏOMG-LINÏÏÖ
